Action Entropy,Policy Type,Potential,Collision Likelihood,Reach Reduction,Trial_ID
0.1,Global Optimal,0.06091332753457614,0.011633721096437788,1.0000000000000002,25
0.1,Local Feedback,0.0589746436141992,0.031826925220535096,0.9681730747794648,25
0.1,Global Optimal,0.04398800007699531,0.3152489040274543,0.8233629382667512,26
0.1,Local Feedback,1.2280217168947235e-07,0.9999976764675871,2.2985986344184925e-06,26
0.1,Global Optimal,0.10170436257032753,0.013814588323103338,1.0000000000000004,27
0.1,Local Feedback,0.10007925242320095,0.015978765375013082,0.9840212346249868,27
0.1,Global Optimal,0.025744639415351704,0.35060907434755584,0.8045835857539031,28
0.1,Local Feedback,5.917291066972067e-07,0.9999805311302968,1.8492996494543777e-05,28
0.1,Global Optimal,0.10170436257032753,0.014594128989187882,1.0000000000000004,29
0.1,Local Feedback,0.09954109466652869,0.021270158419241403,0.9787298415807589,29
0.1,Global Optimal,0.025036222455719376,0.3404606441631509,0.7824438055692182,30
0.1,Local Feedback,1.985500714200492e-05,0.9993779102601299,0.0006205180264423384,30
0.1,Global Optimal,0.07979632350729268,0.01836092356239627,1.0000000000000004,31
0.1,Local Feedback,0.07397482043851586,0.07295452738802888,0.9270454726119711,31
0.1,Global Optimal,0.025744639415351704,0.35060907434755584,0.8045835857539031,32
0.1,Local Feedback,5.917291066972067e-07,0.9999805311302968,1.8492996494543777e-05,32
0.1,Global Optimal,0.07979632350729268,0.01836092356239627,1.0000000000000004,33
0.1,Local Feedback,0.07397482043851586,0.07295452738802888,0.9270454726119711,33
0.1,Global Optimal,0.053424799723914965,0.01040032831148141,1.0000000000000004,34
0.1,Local Feedback,0.05232513452279256,0.020583422058766176,0.9794165779412342,34
0.1,Global Optimal,0.025036222455719376,0.3404606441631509,0.7824438055692182,35
0.1,Local Feedback,1.985500714200492e-05,0.9993779102601299,0.0006205180264423384,35
0.1,Global Optimal,0.031997470332717166,0.007842514781716936,1.0000000000000002,36
0.1,Local Feedback,0.031487264780837965,0.015945183996545653,0.9840548160034542,36
0.1,Global Optimal,0.05342479972391497,0.012401317593398464,1.0000000000000007,37
0.1,Local Feedback,0.0519215035634058,0.028138545549590832,0.9718614544504095,37
0.1,Global Optimal,0.06091332753457614,0.011633721096437788,1.0000000000000002,38
0.1,Local Feedback,0.0589746436141992,0.031826925220535096,0.9681730747794648,38
0.1,Global Optimal,0.04398800007699531,0.3152489040274543,0.8233629382667512,39
0.1,Local Feedback,1.2280217168947235e-07,0.9999976764675871,2.2985986344184925e-06,39
0.1,Global Optimal,0.11511044220469081,0.18165861908389092,0.9926718772579899,40
0.1,Local Feedback,0.022391290635598027,0.8061942704192482,0.19309459753393746,40
0.1,Global Optimal,0.04398800007699531,0.3152489040274543,0.8233629382667512,41
0.1,Local Feedback,1.2280217168947235e-07,0.9999976764675871,2.2985986344184925e-06,41
0.1,Global Optimal,0.13052080226586688,0.17245588000612322,0.9796469585942061,42
0.1,Local Feedback,0.0024303492296208523,0.9816716258981122,0.018241415849329916,42
0.1,Global Optimal,0.0797963235072927,0.0257360033038172,1.0000000000000004,43
0.1,Local Feedback,0.07128853495061936,0.10661880375849342,0.8933811962415067,43
0.1,Global Optimal,0.15190762079978334,0.015579492057018252,1.0000000000000004,44
0.1,Local Feedback,0.14978405092896485,0.013979350473913077,0.9860206495260869,44
0.1,Global Optimal,0.11511044220469081,0.18165861908389092,0.9926718772579899,45
0.1,Local Feedback,0.022391290635598027,0.8061942704192482,0.19309459753393746,45
0.1,Global Optimal,0.10170436257032753,0.013814588323103338,1.0000000000000004,46
0.1,Local Feedback,0.10007925242320095,0.015978765375013082,0.9840212346249868,46
0.1,Global Optimal,0.060913327534576144,0.01704848873393572,1.0000000000000004,47
0.1,Local Feedback,0.05790702407267264,0.049353788137694865,0.9506462118623052,47
0.1,Global Optimal,0.13052080226586685,0.16577474841754314,0.9796469585942063,48
0.1,Local Feedback,0.0024344807533488947,0.9816404681897567,0.018272425731159263,48
0.1,Global Optimal,0.19833125210798516,0.11308531969412838,0.9966462431553095,49
0.1,Local Feedback,0.12307534114901561,0.379465386906786,0.6184732616644731,49
0.2,Global Optimal,0.0314357547782502,0.022347731579361874,1.0000000000000007,0
0.2,Local Feedback,0.029914959615614023,0.04837787969030638,0.9516221203096936,0
