Action Entropy,Policy Type,Potential,Collision Likelihood,Trial_ID
0.8,Local Feedback,0.8861691089869469,0.0637107410311728,20
0.8,Global Feedback,0.993109397960392,0.0004376058343598,21
0.8,Local Feedback,0.7434837472482889,0.11416144393819896,21
0.8,Global Feedback,0.9888720595631432,0.0002999304671877,22
0.8,Local Feedback,0.9148075978525894,0.02170098903618256,22
0.8,Global Feedback,0.9801329255462,0.0073467243823763,23
0.8,Local Feedback,0.10803046049923076,0.7566793913460516,23
0.8,Global Feedback,0.9521379721692482,0.0039116910115704,24
0.8,Local Feedback,0.6903520468670332,0.14911716263439911,24
0.9,Global Feedback,0.9996384279467996,2.577172923801108e-05,0
0.9,Local Feedback,0.8984741865996607,0.03026653367736928,0
0.9,Global Feedback,0.993493089718446,0.001015548011507,1
0.9,Local Feedback,0.9063544231986946,0.017475012016569442,1
0.9,Global Feedback,0.9993190090999744,7.426636936191944e-05,2
0.9,Local Feedback,0.9210308068162093,0.00240081188304016,2
0.9,Global Feedback,0.9934099668415484,0.0037818078285406,3
0.9,Local Feedback,0.27907132849211114,0.6671217361220743,3
0.9,Global Feedback,0.9990913199660976,8.914444041263625e-05,4
0.9,Local Feedback,0.9210878284096525,0.0023819361103972,4
0.9,Global Feedback,0.9963602248779028,0.0004151481042022,5
0.9,Local Feedback,0.9169821680622798,0.00705478054083632,5
0.9,Global Feedback,0.9990656597250274,0.0001753007784609,6
0.9,Local Feedback,0.9171631271471922,0.0050927607883620805,6
0.9,Global Feedback,0.9981558281971992,0.00014565386506,7
0.9,Local Feedback,0.9166681254403228,0.00776103454175848,7
0.9,Global Feedback,0.9998225728775144,7.967710931056082e-05,8
0.9,Local Feedback,0.9731587899118986,0.00954593293217144,8
0.9,Global Feedback,0.996089225639908,0.0035181439578799,9
0.9,Local Feedback,0.2607242678418589,0.6700612461467884,9
0.9,Global Feedback,0.9997269065761571,1.2448695068778548e-05,10
0.9,Local Feedback,0.9243772298032806,0.0007465686594504001,10
0.9,Global Feedback,0.9998306628842994,2.0289382845151135e-05,11
0.9,Local Feedback,0.9165918222710258,0.008259675869664881,11
0.9,Global Feedback,0.9998981411331412,1.7014403303150516e-05,12
0.9,Local Feedback,0.9228436407445074,0.0026664717021865603,12
0.9,Global Feedback,0.9997087875280491,3.863343688581544e-05,13
0.9,Local Feedback,0.8928849526953885,0.03725460851029552,13
0.9,Global Feedback,0.9991042172048026,0.0001041744902896,14
0.9,Local Feedback,0.9200385233476658,0.00525598942802416,14
0.9,Global Feedback,0.999065232411688,8.56075062100059e-05,15
0.9,Local Feedback,0.9202946750837947,0.0052939827235204,15
0.9,Global Feedback,0.998919570136685,7.778983261486072e-05,16
0.9,Local Feedback,0.9198102576731972,0.0057806584310438405,16
0.9,Global Feedback,0.9998396074819524,8.053098247173818e-05,17
0.9,Local Feedback,0.906880923434813,0.02448622912480088,17
0.9,Global Feedback,0.9990204619710048,8.504153359545352e-05,18
0.9,Local Feedback,0.9217155982424563,0.00341147982377288,18
0.9,Global Feedback,0.9937938201459356,0.0003070681901737,19
0.9,Local Feedback,0.917408038370348,0.00452599166569784,19
0.9,Global Feedback,0.9994867020983136,4.900913596750378e-05,20
0.9,Local Feedback,0.8038394381660129,0.0862425072089404,20
0.9,Global Feedback,0.9988545611264272,6.489364999295866e-05,21
0.9,Local Feedback,0.9094368824985868,0.0178916193201656,21
0.9,Global Feedback,0.9979343457153128,0.0013025789536355,22
0.9,Local Feedback,0.5916792380250138,0.37730788712492513,22
